order_id,settled_amount_usd,settled_at
O0004917,613.07,2024-04-25
O0006268,396.89,2024-04-08
O0005574,1074.57,2024-04-17
O0003342,1704.28,2024-03-23
O0003939,123.67,2024-03-03
O0007682,578.57,2024-05-24
O0002526,2610.53,2024-02-04
O0005203,1130.70,2024-04-10
O0007643,829.92,2024-05-07
O0003066,2802.92,2024-02-09
O0006996,617.61,2024-05-26
O0003324,634.68,2024-03-11
O0004421,172.62,2024-03-16
O0002268,2064.80,2024-02-07
O0006742,1748.36,2024-05-29
O0005255,374.60,2024-04-04
O0005450,2163.86,2024-04-17
O0006226,175.15,2024-04-19
O0004628,246.29,2024-03-04
O0004393,431.56,2024-03-09
O0006586,148.66,2024-05-26
O0000520,1741.71,2024-01-15
O0006842,2077.32,2024-05-23
O0007491,326.24,2024-05-01
O0006920,730.23,2024-05-29
O0000074,1228.23,2024-01-17
O0004232,1844.28,2024-03-26
O0000940,1395.89,2024-01-24
O0004018,138.64,2024-03-20
O0000475,503.87,2024-01-04
O0007458,265.14,2024-05-31
O0003564,3124.89,2024-03-01
O0007165,277.20,2024-05-15
O0001417,1042.79,2024-01-24
O0004707,3502.48,2024-03-22
O0001995,820.64,2024-02-24
O0001614,289.53,2024-02-15
O0006828,88.39,2024-05-04
O0003040,843.31,2024-02-02
O0006952,1865.31,2024-05-29
O0000379,2656.47,2024-01-27
O0004543,484.32,2024-03-14
O0006203,299.51,2024-04-04
O0007193,1369.39,2024-05-02
O0000302,925.76,2024-01-26
O0001874,901.64,2024-02-09
O0002962,53.77,2024-02-12
O0003830,2548.35,2024-03-24
O0002294,499.26,2024-02-28
O0003023,1165.63,2024-02-10
O0001397,2615.33,2024-01-16
O0006315,307.35,2024-04-16
O0006622,300.27,2024-05-16
O0002080,1948.23,2024-02-16
O0004545,2365.30,2024-03-06
O0007829,994.85,2024-05-10
O0001521,1774.69,2024-01-06
O0003728,1131.51,2024-03-13
O0007077,2800.12,2024-05-26
O0006034,66.98,2024-04-01
O0000924,259.65,2024-01-22
O0002749,764.37,2024-02-25
O0007986,1891.60,2024-05-01
O0000035,908.83,2024-01-07
O0007525,507.24,2024-05-14
O0006472,394.20,2024-05-31
O0001391,120.82,2024-01-01
O0007593,384.21,2024-05-05
O0007607,618.48,2024-05-23
O0004506,544.12,2024-03-28
O0005970,97.34,2024-04-04
O0004148,1953.21,2024-03-02
O0005007,553.22,2024-04-02
O0005909,878.33,2024-04-09
O0000802,163.08,2024-01-11
O0002451,1824.52,2024-02-02
O0007111,874.29,2024-05-06
O0007376,182.54,2024-05-09
O0007618,1486.08,2024-05-16
O0003319,153.76,2024-03-12
O0000159,1569.08,2024-01-08
O0007304,1787.37,2024-05-14
O0002222,230.87,2024-02-22
O0003725,1134.28,2024-03-16
O0004076,3141.32,2024-03-07
O0002556,377.28,2024-02-15
O0000111,2164.03,2024-01-10
O0005802,3116.28,2024-04-28
O0004488,3525.86,2024-03-17
O0002853,692.99,2024-02-09
O0004138,490.26,2024-03-27
O0005042,1112.79,2024-04-14
O0000921,621.94,2024-01-14
O0000912,3593.89,2024-01-15
O0006902,758.80,2024-05-11
O0002482,1009.39,2024-02-10
O0004458,461.79,2024-03-14
O0005454,761.84,2024-04-11
O0004187,1782.53,2024-03-23
O0004329,2746.59,2024-03-14
