sku,name,category,unit_price_usd,region
SKU-0004,Sports Item 4,Sports,356.79,LATAM
SKU-0008,Apparel Item 8,Apparel,160.62,LATAM
SKU-0012,Electronics Item 12,Electronics,132.49,LATAM
SKU-0016,Books Item 16,Books,286.09,LATAM
SKU-0020,Electronics Item 20,Electronics,161.63,LATAM
SKU-0024,Home Item 24,Home,458.49,LATAM
SKU-0028,Electronics Item 28,Electronics,440.71,LATAM
SKU-0032,Grocery Item 32,Grocery,189.78,LATAM
SKU-0036,Grocery Item 36,Grocery,59.27,LATAM
SKU-0040,Sports Item 40,Sports,361.77,LATAM
SKU-0044,Books Item 44,Books,175.27,LATAM
SKU-0048,Grocery Item 48,Grocery,328.99,LATAM
SKU-0052,Apparel Item 52,Apparel,31.04,LATAM
SKU-0056,Sports Item 56,Sports,475.31,LATAM
SKU-0060,Home Item 60,Home,490.76,LATAM
SKU-0064,Electronics Item 64,Electronics,270.54,LATAM
SKU-0068,Home Item 68,Home,192.21,LATAM
SKU-0072,Home Item 72,Home,496.33,LATAM
SKU-0076,Home Item 76,Home,150.33,LATAM
SKU-0080,Electronics Item 80,Electronics,405.87,LATAM
SKU-0084,Books Item 84,Books,379.30,LATAM
SKU-0088,Sports Item 88,Sports,99.72,LATAM
SKU-0092,Home Item 92,Home,40.36,LATAM
SKU-0096,Home Item 96,Home,59.73,LATAM
SKU-0100,Electronics Item 100,Electronics,75.74,LATAM
SKU-0104,Home Item 104,Home,208.81,LATAM
SKU-0108,Home Item 108,Home,164.48,LATAM
SKU-0112,Home Item 112,Home,63.73,LATAM
SKU-0116,Grocery Item 116,Grocery,349.40,LATAM
SKU-0120,Grocery Item 120,Grocery,431.85,LATAM
SKU-0124,Grocery Item 124,Grocery,114.15,LATAM
SKU-0128,Grocery Item 128,Grocery,396.00,LATAM
SKU-0132,Electronics Item 132,Electronics,396.73,LATAM
SKU-0136,Grocery Item 136,Grocery,90.52,LATAM
SKU-0140,Apparel Item 140,Apparel,342.69,LATAM
SKU-0144,Sports Item 144,Sports,447.65,LATAM
SKU-0148,Books Item 148,Books,215.94,LATAM
