order_id,customer_id,sku,quantity,revenue_usd,order_date
O0000256,C00865,SKU-0096,1,54.51,2024-01-25
O0000198,C01218,SKU-0111,2,239.57,2024-01-19
O0001076,C00610,SKU-0122,7,2692.24,2024-01-22
O0000857,C00293,SKU-0103,5,1430.82,2024-01-19
O0000011,C01182,SKU-0018,2,281.54,2024-01-22
O0001034,C00775,SKU-0077,2,1015.64,2024-01-02
O0000903,C00775,SKU-0132,6,2319.72,2024-01-10
O0001292,C00768,SKU-0109,7,2315.51,2024-01-15
O0001108,C00283,SKU-0135,7,83.58,2024-01-10
O0001146,C00747,SKU-0141,2,926.43,2024-01-30
O0001130,C00627,SKU-0032,7,1351.72,2024-01-25
O0001150,C00363,SKU-0118,6,1426.24,2024-01-20
O0000372,C00834,SKU-0057,8,2456.05,2024-01-13
O0000246,C00744,SKU-0035,3,1201.69,2024-01-21
O0001088,C00565,SKU-0134,5,2144.41,2024-01-29
O0000518,C00451,SKU-0110,5,114.20,2024-01-17
O0000968,C00928,SKU-0005,3,1194.54,2024-01-19
O0001031,C00360,SKU-0045,2,10.57,2024-01-13
O0001212,C01012,SKU-0024,5,2161.78,2024-01-22
O0001355,C00263,SKU-0050,8,42.72,2024-01-26
O0001385,C00935,SKU-0070,7,3321.53,2024-01-13
O0000224,C00574,SKU-0085,7,2481.82,2024-01-26
O0000492,C00098,SKU-0011,4,1878.37,2024-01-30
O0001290,C00867,SKU-0020,2,322.72,2024-01-17
O0000786,C00153,SKU-0083,1,423.26,2024-01-30
O0001010,C00786,SKU-0082,6,1425.01,2024-01-22
O0000235,C00051,SKU-0051,5,1196.24,2024-01-20
O0000516,C00682,SKU-0137,5,2096.94,2024-01-17
O0001134,C00377,SKU-0101,2,687.60,2024-01-02
O0000202,C00518,SKU-0094,8,2119.89,2024-01-14
O0000230,C01120,SKU-0064,6,1553.15,2024-01-23
O0000920,C00364,SKU-0149,7,553.05,2024-01-04
O0000927,C00811,SKU-0144,6,2726.07,2024-01-22
O0000606,C01169,SKU-0013,2,744.20,2024-01-13
O0001440,C00346,SKU-0056,4,1962.89,2024-01-28
O0001552,C00347,SKU-0026,8,1673.67,2024-01-18
O0001422,C00171,SKU-0049,6,882.82,2024-01-01
O0001400,C00872,SKU-0047,3,583.15,2024-01-12
O0000010,C00906,SKU-0125,1,472.93,2024-01-14
O0001159,C00278,SKU-0078,2,789.67,2024-01-19
O0000124,C00482,SKU-0014,6,852.54,2024-01-03
O0000900,C00740,SKU-0106,7,1313.29,2024-01-13
O0000373,C00911,SKU-0134,4,1894.81,2024-01-12
O0001083,C00124,SKU-0008,6,926.73,2024-01-30
O0000579,C00491,SKU-0138,3,306.17,2024-01-07
O0001306,C00858,SKU-0135,4,50.17,2024-01-17
O0001253,C00570,SKU-0063,7,1285.36,2024-01-24
O0000113,C00808,SKU-0053,6,333.43,2024-01-12
O0001255,C00918,SKU-0099,8,3178.87,2024-01-10
O0001462,C00321,SKU-0104,4,807.97,2024-01-28
O0000324,C00971,SKU-0132,8,3078.60,2024-01-30
O0000607,C00789,SKU-0008,5,779.63,2024-01-05
O0000231,C01094,SKU-0118,4,896.09,2024-01-05
O0001009,C01234,SKU-0086,5,1686.15,2024-01-03
O0000397,C00088,SKU-0080,6,2211.30,2024-01-02
O0001301,C00959,SKU-0036,7,430.22,2024-01-09
O0000791,C00152,SKU-0109,1,352.76,2024-01-15
O0000807,C00120,SKU-0048,5,1550.33,2024-01-11
O0000654,C00094,SKU-0026,8,1520.92,2024-01-26
O0000550,C00974,SKU-0112,2,118.76,2024-01-31
O0000636,C00278,SKU-0023,4,797.23,2024-01-24
O0000320,C01145,SKU-0087,5,1862.16,2024-01-03
O0001071,C00248,SKU-0051,8,1739.95,2024-01-27
O0001228,C00026,SKU-0142,8,92.79,2024-01-15
O0000626,C01126,SKU-0023,3,607.55,2024-01-11
O0001198,C00804,SKU-0113,4,356.69,2024-01-03
O0001461,C00129,SKU-0026,1,196.54,2024-01-25
O0000333,C00509,SKU-0124,6,670.58,2024-01-27
O0001155,C00600,SKU-0008,5,796.90,2024-01-13
O0000836,C01123,SKU-0088,3,275.12,2024-01-12
O0001550,C00938,SKU-0030,1,399.06,2024-01-20
O0000137,C00009,SKU-0056,1,469.03,2024-01-13
O0000251,C00195,SKU-0104,8,1725.73,2024-01-31
O0001393,C00855,SKU-0027,6,1672.56,2024-01-17
O0001543,C00877,SKU-0053,6,350.78,2024-01-28
O0001265,C01246,SKU-0025,2,468.90,2024-01-05
O0000639,C00620,SKU-0073,5,1912.37,2024-01-09
O0000244,C00440,SKU-0128,4,1500.32,2024-01-25
