sku,name,category,unit_price_usd,region
SKU-0001,Grocery Item 1,Grocery,55.26,NA
SKU-0005,Electronics Item 5,Electronics,404.26,NA
SKU-0009,Grocery Item 9,Grocery,163.82,NA
SKU-0013,Home Item 13,Home,409.91,NA
SKU-0017,Home Item 17,Home,451.42,NA
SKU-0021,Books Item 21,Books,344.53,NA
SKU-0025,Grocery Item 25,Grocery,224.86,NA
SKU-0029,Grocery Item 29,Grocery,418.68,NA
SKU-0033,Home Item 33,Home,63.87,NA
SKU-0037,Grocery Item 37,Grocery,135.95,NA
SKU-0041,Home Item 41,Home,85.67,NA
SKU-0045,Apparel Item 45,Apparel,5.80,NA
SKU-0049,Home Item 49,Home,141.63,NA
SKU-0053,Grocery Item 53,Grocery,61.73,NA
SKU-0057,Electronics Item 57,Electronics,319.32,NA
SKU-0061,Home Item 61,Home,95.49,NA
SKU-0065,Electronics Item 65,Electronics,299.47,NA
SKU-0069,Books Item 69,Books,332.42,NA
SKU-0073,Electronics Item 73,Electronics,414.91,NA
SKU-0077,Home Item 77,Home,497.75,NA
SKU-0081,Books Item 81,Books,131.05,NA
SKU-0085,Home Item 85,Home,343.85,NA
SKU-0089,Electronics Item 89,Electronics,235.28,NA
SKU-0093,Sports Item 93,Sports,261.11,NA
SKU-0097,Sports Item 97,Sports,280.83,NA
SKU-0101,Books Item 101,Books,369.04,NA
SKU-0105,Books Item 105,Books,213.38,NA
SKU-0109,Books Item 109,Books,357.88,NA
SKU-0113,Sports Item 113,Sports,88.84,NA
SKU-0117,Apparel Item 117,Apparel,314.01,NA
SKU-0121,Electronics Item 121,Electronics,150.52,NA
SKU-0125,Grocery Item 125,Grocery,458.17,NA
SKU-0129,Grocery Item 129,Grocery,360.92,NA
SKU-0133,Books Item 133,Books,264.68,NA
SKU-0137,Home Item 137,Home,422.86,NA
SKU-0141,Sports Item 141,Sports,453.96,NA
SKU-0145,Sports Item 145,Sports,137.69,NA
SKU-0149,Books Item 149,Books,83.12,NA
