order_id,settled_amount_usd,settled_at
O0003440,116.69,2024-03-27
O0001213,1853.72,2024-01-12
O0005964,387.79,2024-04-20
O0006138,1862.85,2024-04-28
O0004687,1127.94,2024-03-17
O0000660,598.43,2024-01-24
O0001706,659.94,2024-02-19
O0006628,328.22,2024-05-06
O0003200,109.31,2024-02-24
O0003658,1439.98,2024-03-20
O0006523,158.06,2024-05-06
O0003306,2417.49,2024-03-20
O0005972,370.25,2024-04-08
O0003610,2057.99,2024-03-11
O0004253,59.81,2024-03-07
O0003104,2877.90,2024-02-08
O0004364,203.24,2024-03-25
O0004457,2034.64,2024-03-10
O0007023,210.76,2024-05-16
O0004813,177.15,2024-04-05
O0007427,1176.79,2024-05-20
O0004245,835.70,2024-03-04
O0003093,176.97,2024-02-13
O0003954,2109.81,2024-03-22
O0002803,2519.94,2024-02-19
O0005654,838.69,2024-04-08
O0000243,1363.57,2024-01-06
O0007738,2195.25,2024-05-11
O0001937,1184.52,2024-02-20
O0006240,1113.95,2024-04-11
O0006130,376.47,2024-04-03
O0005938,909.46,2024-04-06
O0007921,455.20,2024-05-26
O0000925,27.37,2024-01-10
O0004991,267.31,2024-04-17
O0004043,1423.48,2024-03-21
O0006116,10.99,2024-04-12
O0002568,786.36,2024-02-03
O0002886,1304.23,2024-02-12
O0006629,581.21,2024-05-17
O0006496,2110.67,2024-05-02
O0003953,17.10,2024-03-28
O0001361,466.98,2024-01-03
O0002448,301.87,2024-02-08
O0007078,2489.46,2024-05-16
O0005875,1431.67,2024-04-02
O0006164,1165.79,2024-04-08
O0000158,1260.99,2024-01-07
O0000988,1395.10,2024-01-17
O0002690,2886.37,2024-02-25
O0001842,1700.23,2024-02-07
O0004332,769.52,2024-03-08
O0004455,534.48,2024-03-17
O0001661,783.69,2024-02-09
O0000838,1236.70,2024-01-04
O0000664,1451.53,2024-01-21
O0003705,3294.17,2024-03-06
O0003473,1628.05,2024-03-08
O0003328,3104.34,2024-03-28
O0001196,371.54,2024-01-06
O0003264,44.46,2024-03-30
O0006789,274.35,2024-05-28
O0005296,300.81,2024-04-22
O0000330,872.67,2024-01-10
O0006664,1865.99,2024-05-06
O0007906,3035.67,2024-05-14
O0001014,1151.12,2024-01-04
O0003917,271.70,2024-03-06
O0002616,2907.17,2024-02-17
O0000674,3107.03,2024-01-14
O0002032,830.50,2024-02-14
O0000223,35.69,2024-01-02
O0006208,2408.55,2024-04-22
O0005623,1191.28,2024-04-20
O0004397,1070.42,2024-03-10
O0006092,187.09,2024-04-16
O0004334,1961.07,2024-03-02
O0006899,198.29,2024-05-17
O0002510,120.90,2024-02-10
O0002843,1253.40,2024-02-28
O0002201,1929.36,2024-02-16
O0001270,2165.65,2024-01-16
O0003798,265.98,2024-03-09
O0002881,729.66,2024-02-26
O0005503,980.62,2024-04-06
O0003952,498.72,2024-03-15
O0002006,305.11,2024-02-19
O0007805,295.85,2024-05-14
O0004495,1640.84,2024-03-30
O0000260,3300.33,2024-01-15
O0003811,303.88,2024-03-19
O0000368,555.20,2024-01-05
O0001876,2634.62,2024-02-29
O0004633,2234.87,2024-03-31
O0001863,682.71,2024-02-07
O0007279,2507.41,2024-05-09
O0003206,395.65,2024-03-21
O0001034,1015.64,2024-01-02
O0006319,1090.13,2024-04-26
O0006594,2284.64,2024-05-31
