order_id,customer_id,sku,quantity,revenue_usd,order_date
O0003504,C00846,SKU-0109,3,1071.76,2024-03-19
O0004669,C00072,SKU-0111,1,127.44,2024-03-21
O0004471,C00575,SKU-0049,6,810.68,2024-03-24
O0003976,C00757,SKU-0104,2,416.54,2024-03-13
O0003689,C01250,SKU-0111,6,752.38,2024-03-12
O0004418,C01215,SKU-0010,8,486.70,2024-03-25
O0003402,C00619,SKU-0146,1,463.35,2024-03-26
O0004160,C00816,SKU-0083,1,474.83,2024-03-28
O0004643,C00041,SKU-0118,5,1043.07,2024-03-13
O0004049,C00196,SKU-0048,2,653.63,2024-03-05
O0003566,C00288,SKU-0077,7,3477.53,2024-03-15
O0003766,C00880,SKU-0083,8,3289.16,2024-03-26
O0004003,C00492,SKU-0115,1,219.55,2024-03-03
O0003959,C00556,SKU-0025,3,667.34,2024-03-25
O0003806,C00712,SKU-0026,4,820.02,2024-03-02
O0004582,C00775,SKU-0030,4,1522.15,2024-03-04
O0003272,C01117,SKU-0004,5,1827.56,2024-03-17
O0003870,C01240,SKU-0073,4,1494.28,2024-03-11
O0004263,C00921,SKU-0026,6,1158.24,2024-03-08
O0004653,C00636,SKU-0084,6,2321.39,2024-03-03
O0003897,C01194,SKU-0127,5,947.83,2024-03-21
O0003985,C00863,SKU-0069,6,2018.64,2024-03-16
O0003646,C00874,SKU-0037,8,1130.26,2024-03-10
O0003298,C01033,SKU-0122,1,417.91,2024-03-08
O0003763,C00641,SKU-0044,2,327.19,2024-03-29
O0004437,C00119,SKU-0116,6,2106.97,2024-03-13
O0003856,C01242,SKU-0020,4,629.74,2024-03-11
O0004530,C00292,SKU-0126,3,602.46,2024-03-12
O0003690,C00293,SKU-0058,6,2301.12,2024-03-27
O0004617,C00723,SKU-0031,4,1033.30,2024-03-21
O0003553,C00585,SKU-0062,1,50.62,2024-03-15
O0004592,C00779,SKU-0065,5,1439.13,2024-03-25
O0003586,C01076,SKU-0043,8,656.69,2024-03-23
O0003302,C00445,SKU-0077,3,1529.22,2024-03-07
O0003724,C00096,SKU-0142,6,70.52,2024-03-22
O0004489,C00024,SKU-0096,3,187.98,2024-03-17
O0003368,C00593,SKU-0106,5,1067.02,2024-03-22
O0004708,C01181,SKU-0117,7,2176.95,2024-03-10
O0003880,C00251,SKU-0103,5,1363.31,2024-03-16
O0004340,C00330,SKU-0013,7,2849.82,2024-03-29
O0004408,C01207,SKU-0045,6,36.30,2024-03-06
O0004076,C01180,SKU-0066,7,3141.32,2024-03-07
O0004213,C00596,SKU-0010,7,376.93,2024-03-23
O0003273,C00280,SKU-0039,3,1373.65,2024-03-03
O0003757,C00401,SKU-0110,2,45.80,2024-03-06
O0003372,C00676,SKU-0047,1,186.47,2024-03-19
O0004311,C00548,SKU-0024,1,480.14,2024-03-20
O0003446,C00919,SKU-0095,8,2338.86,2024-03-23
O0004526,C01071,SKU-0048,8,2757.32,2024-03-29
O0003405,C01092,SKU-0035,8,3115.15,2024-03-04
O0003251,C00104,SKU-0017,5,2218.60,2024-03-01
O0004163,C00802,SKU-0116,1,342.35,2024-03-22
O0004796,C00760,SKU-0092,3,110.54,2024-03-20
O0004731,C00423,SKU-0004,8,2692.78,2024-03-23
